Frequencia,VL,VC,sFrequencia,sVL,sVC
103,1.1,273.5,0.05,0.05,0.05
199,1.9,120.9,0.05,0.05,0.05
307,2.8,81.1,0.05,0.05,0.05
403,4.1,65.1,0.05,0.05,0.05
497,5.3,51.0,0.05,0.05,0.05
605,6.3,44.8,0.05,0.05,0.05
699,6.9,36.1,0.05,0.05,0.05
798,7.2,28.6,0.05,0.05,0.05
902,9.7,30.3,0.05,0.05,0.05
1103,9.8,25.0,0.05,0.05,0.05
1102,11.3,23.7,0.05,0.05,0.05
1196,11.6,20.4,0.05,0.05,0.05
1306,11.6,17.4,0.05,0.05,0.05
1402,14.0,18.0,0.05,0.05,0.05
1496,14.9,16.8,0.05,0.05,0.05
1603,15.5,15.3,0.05,0.05,0.05
1701,17.6,15.4,0.05,0.05,0.05
1800,19.4,15.2,0.05,0.05,0.05
1897,20.2,14.2,0.05,0.05,0.05
